Tissue,Treatment.temperature,Replicate,Treatment,TIP41,TRAPPC6,RHIP1,UBC21,PUX7,PP2AA3,OGIO,DWA1,GLR2,MON1
Seedlings,22°C ,R1,seedling_22,23.13958,23.14644686,22.28993898,22.03439246,22.68375722,21.81998573,22.4633138,24.02126758,26.40649137,22.31907289
Seedlings,27°C,R1,seedling_27,23.04186967,22.49641087,22.12024034,21.88943566,22.30853321,21.64881479,22.3626543,23.91612068,26.14921254,22.34302035
Seedlings,32°C,R1,seedling_32,23.1870039,22.9959899,22.35869746,22.20542134,22.40787904,22.0140242,22.49132072,24.10268954,26.92268006,23.1793619
Seedlings,37°C,R1,seedling_37,23.37061986,23.68089237,21.90945627,22.86311267,22.86921635,22.03915543,22.48746464,24.61096781,26.89191027,23.08744071
Seedlings,42°C,R1,seedling_42,23.25826793,23.38205114,22.072775,22.40849338,22.91821054,21.60714388,22.73520213,24.35117152,26.72409294,23.1776807
Seedlings,22°C ,R2,seedling_22,22.91298082,22.43072749,22.30946005,21.12778991,22.16325722,23.26819798,22.4384657,23.96297073,26.28647701,22.45624731
Seedlings,27°C,R2,seedling_27,23.48781358,23.23763925,23.43700013,21.95625138,23.02077485,24.04483881,23.22699452,24.81926462,26.60619229,23.44663203
Seedlings,32°C,R2,seedling_32,24.07234873,24.24395208,23.91160072,22.57599749,23.29809912,23.30146732,23.49785314,25.45025711,27.85283015,24.71161093
Seedlings,37°C,R2,seedling_37,22.88106023,23.92438041,22.58917355,22.27224023,22.50901774,22.63832111,22.75259967,24.68918074,27.10152619,23.11449579
Seedlings,42°C,R2,seedling_42,23.37127722,23.45749796,23.44756258,22.30063823,23.32791519,23.66992517,23.24668475,24.93207495,27.18173978,24.18987097
Leaves,22°C ,R1,rosetta_22,24.06156425,24.76789873,24.29608776,22.32954102,22.61592161,23.44923267,23.12476878,25.06239896,25.82299366,28.27982487
Leaves,27°C,R1,rosetta_27,23.61087965,24.31563123,23.39981921,22.03840614,22.69045906,23.1289117,23.08036574,24.63212716,25.25545502,28.17171233
Leaves,32°C,R1,rosetta_32,23.25767693,24.20651832,23.34080346,22.08283826,22.84945719,22.48071201,22.78513733,24.50756158,24.32401703,28.41167428
Leaves,37°C,R1,rosetta_37,23.29504748,24.93855509,23.12551164,22.37758591,23.10783135,22.54444795,22.72311185,25.22657276,24.44479041,28.45548547
Leaves,42°C,R1,rosetta_42,24.07860139,25.01164931,23.37798257,22.52333592,23.60022977,23.66561781,23.18736798,25.5400134,24.33605835,28.69650153
Leaves,22°C ,R2,rosetta_22,24.21111894,25.15898234,23.78117926,22.59417655,23.2167825,22.71960616,23.54125491,25.18503631,26.31212478,23.37444051
Leaves,27°C,R2,rosetta_27,23.66924501,24.69133906,23.37609991,22.28497828,22.94673162,22.75918901,22.89806577,24.80060033,26.480228,23.16425067
Leaves,32°C,R2,rosetta_32,24.23247554,24.50615255,23.66009756,23.1882564,23.71607793,23.21961841,23.78701018,25.19443598,27.29107126,24.51452019
Leaves,37°C,R2,rosetta_37,24.20995687,23.95037334,22.48534254,22.42216211,22.78175571,22.43397884,22.49215133,25.3776776,26.5007282,23.49804017
Leaves,42°C,R2,rosetta_42,24.40250502,25.04140984,22.95938292,23.16443426,23.60114283,23.32458682,23.11004866,25.07290239,27.72522995,24.2298996
Buds,22°C ,R1,buds_22,22.15218156,21.96019629,21.57997609,20.80928583,21.16224607,21.13321844,21.61783115,22.76301761,23.95579532,26.14875593
Buds,27°C,R1,buds_27,23.69541467,23.81109371,23.38794241,22.28605944,23.52788808,21.89485556,22.49823169,24.73849013,25.67900328,28.72359955
Buds,32°C,R1,buds_32,23.48785877,23.86792202,23.48365524,21.84968842,23.45387621,21.66250281,22.93918605,24.53559494,25.30467034,28.42477473
Buds,37°C,R1,buds_37,21.94393935,22.44542029,21.37982884,20.71498504,21.54481511,20.76723477,21.33098101,23.27313141,23.67828222,26.22914022
Buds,42°C,R1,buds_42,22.63060808,22.53029212,22.12034882,21.68383529,22.1820697,21.66985143,23.15137291,23.92437399,25.59014515,26.40530044
Buds,22°C ,R2,buds_22,22.46532231,22.14389382,21.36676942,20.99574239,21.26440104,20.88584949,21.71367535,22.79955629,24.09931722,21.61673788
Buds,27°C,R2,buds_27,22.00405187,22.13818231,21.16547211,20.70178556,21.3465721,20.78056013,21.35591263,22.97826965,24.4122619,21.27639714
Buds,32°C,R2,buds_32,22.12834145,22.34120633,21.10596356,20.72408979,21.16300072,21.03603339,21.48808092,22.56191004,24.7103152,21.24326838
Buds,37°C,R2,buds_37,22.02719336,22.63505285,21.3588494,20.8686032,21.16926869,21.24491005,21.14651535,22.76124233,24.27315923,21.36467842
Buds,42°C,R2,buds_42,22.53562498,22.07451377,21.72122727,21.27190535,21.39663513,21.33119036,22.00801007,22.89822805,26.23332566,21.62119144
